site,month,net,a#,f#,m#,nf#,j#,l#,aCpue,fCpue,mCpue,nfCpue,jCpue,lDen
PLQ,5,MINBEN25,0,0,0,0,1,NA,0,0,0,0,0.073854141,NA
PLQ,5,MINBEN30,2,0,0,2,2,NA,0.146267919,0,0,0.146267919,0.146267919,NA
PLQ,7,MINBEN01,0,0,0,0,2,NA,0,0,0,0,0.147058824,NA
PLQ,7,MINBEN02,0,0,0,0,0,NA,0,0,0,0,0,NA
PLQ,7,MINBEN05,0,0,0,0,0,NA,0,0,0,0,0,NA
PLQ,7,MINBEN10,0,0,0,0,0,NA,0,0,0,0,0,NA
PLQ,7,MINBEN15,0,0,0,0,3,NA,0,0,0,0,0.214285714,NA
PLQ,7,MINBEN20,0,0,0,0,0,NA,0,0,0,0,0,NA
PLQ,7,MINBEN25,0,0,0,0,1,NA,0,0,0,0,0.070113666,NA
PLQ,7,MINBEN30,0,0,0,0,1,NA,0,0,0,0,0.069580157,NA
PYR,5,MINBEN01,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,5,MINBEN02,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,5,MINBEN05,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,5,MINBEN10,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,5,MINBEN15,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,5,MINBEN25,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,5,MINBEN30,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN01,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN02,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN05,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN10,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN15,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN20,0,0,0,0,1,NA,0,0,0,0,0.062609635,NA
PYR,6,MINBEN25,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,6,MINBEN30,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN01,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN02,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN05,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN10,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN15,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN20,0,0,0,0,0,NA,0,0,0,0,0,NA
PYR,7,MINBEN25,0,0,0,0,2,NA,0,0,0,0,0.158520476,NA
PYR,7,MINBEN30,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,5,MINBEN01,0,0,0,0,1,NA,0,0,0,0,0.063829787,NA
TAM,5,MINBEN02,0,0,0,0,4,NA,0,0,0,0,0.217983651,NA
TAM,5,MINBEN05,0,0,0,0,6,NA,0,0,0,0,0.327868852,NA
TAM,5,MINBEN10,0,0,0,0,5,NA,0,0,0,0,0.32537961,NA
TAM,5,MINBEN15,0,0,0,0,4,NA,0,0,0,0,0.262008734,NA
TAM,5,MINBEN20,0,0,0,0,2,NA,0,0,0,0,0.140350877,NA
TAM,5,MINBEN25,0,0,0,0,5,NA,0,0,0,0,0.334821429,NA
TAM,5,MINBEN30,0,0,0,0,1,NA,0,0,0,0,0.06741573,NA
TAM,6,MINBEN01,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,6,MINBEN02,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,6,MINBEN05,1,1,0,0,0,NA,0.070838253,0.070838253,0,0,0,NA
TAM,6,MINBEN10,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,6,MINBEN15,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,6,MINBEN20,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,6,MINBEN25,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,7,MINBEN01,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,7,MINBEN02,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,7,MINBEN05,0,0,0,0,8,NA,0,0,0,0,0.640453783,NA
TAM,7,MINBEN10,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,7,MINBEN15,0,0,0,0,1,NA,0,0,0,0,0.079016855,NA
TAM,7,MINBEN20,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,7,MINBEN25,0,0,0,0,0,NA,0,0,0,0,0,NA
TAM,7,MINBEN30,0,0,0,0,0,NA,0,0,0,0,0,NA
